keyword,destination_url
holiday-special-time,http://www.worldtimebuddy.com/event?lid=5946768%2C6167865%2C2950159%2C1668341&h=6167865&sts=26797260&sln=16-18.5&a=show&euid=0b163d24-2101-b494-a934-e6ce585a9bf5
compost-time,https://docs.google.com/spreadsheets/d/1pzIlEwhKNeDHv-_uYplkihdCxKaP8t_Ghk3Tvp4MZok/edit#gid=27285019
projects,https://docs.google.com/spreadsheets/d/1LyElXvLj7ASclSPQqcgOnuEWqBWBStilEfOhIosZzhA/edit#gid=1841786771
initiatives,https://docs.google.com/spreadsheets/d/1LyElXvLj7ASclSPQqcgOnuEWqBWBStilEfOhIosZzhA/edit#gid=1841786771
rates,https://github.com/hyphacoop/organizing-private/blob/master/documents/business-planning/sales.md#hourly-rates
finance,https://drive.google.com/drive/u/0/folders/1E7xYFNbdev-B6h4PCNH2-vArA4IA5uxN
finance-snapshots,https://drive.google.com/drive/u/0/folders/14mfeK0bH--HXCRopK7H0a_RMg-EBSDTQ
receipts,https://drive.google.com/drive/u/0/folders/1AlgB6On-GWZyW8cOJA0HMlmUMVPFnyEx
invoices,https://docs.google.com/spreadsheets/d/1sfWOQKogtGU83eIIVD0GQnFvRyJzaqzWvrtB3D0jy64/edit
payroll,https://docs.google.com/spreadsheets/d/1sfWOQKogtGU83eIIVD0GQnFvRyJzaqzWvrtB3D0jy64/edit#gid=475791249
wage,https://docs.google.com/spreadsheets/d/1sfWOQKogtGU83eIIVD0GQnFvRyJzaqzWvrtB3D0jy64/edit#gid=977274894
expenses,https://docs.google.com/spreadsheets/d/1sfWOQKogtGU83eIIVD0GQnFvRyJzaqzWvrtB3D0jy64/edit#gid=943904477
reimbursement,https://docs.google.com/spreadsheets/d/1sfWOQKogtGU83eIIVD0GQnFvRyJzaqzWvrtB3D0jy64/edit#gid=948629272
projection,https://docs.google.com/spreadsheets/d/1sfWOQKogtGU83eIIVD0GQnFvRyJzaqzWvrtB3D0jy64/edit#gid=0
projections,https://docs.google.com/spreadsheets/d/1sfWOQKogtGU83eIIVD0GQnFvRyJzaqzWvrtB3D0jy64/edit#gid=0
compost-calls,https://bbb.hypha.coop/b/hyp-crf-lxs-pxo
compost-calls-private,https://bbb.hypha.coop/b/ben-hyc-ywn
compost-wiki,https://github.com/hyphacoop/distributed-press-organizing/wiki
compost-coc,https://github.com/hyphacoop/distributed-press-organizing/wiki/Code-of-Conduct
compost-meetings,https://drive.google.com/drive/u/0/folders/1dTmtaKqH4qkjqdTKly3DdQqbLRGxUwDF
meetcoop,https://bbb.hypha.coop/b/hyp-uas-7vh-woa
address,https://github.com/hyphacoop/organizing-private/blob/master/documents/finances/account-information.md
status,https://status.aseriesoftubez.com/
compost-newsletter,https://lists.hypha.coop/cgi-bin/mailman/listinfo/compost
dialin-jitsi,https://github.com/hyphacoop/organizing-private/blob/master/documents/infrastructure/jitsi.md#connection-details
dialin-bbb,https://github.com/hyphacoop/organizing-private/blob/master/documents/infrastructure/bigbluebutton.md#connection-details
mjw,https://hackmd.io/@patcon/mjw
cultivators,https://docs.google.com/spreadsheets/d/1LyElXvLj7ASclSPQqcgOnuEWqBWBStilEfOhIosZzhA/edit#gid=176333883
tweetsby,https://twitter.com/i/lists/1377379992083034113/members
bike-squad,https://miro.com/app/board/o9J_lL3iZuY=/
oc-mood,https://miro.com/app/board/o9J_lLPPvvU=/
budget,https://docs.google.com/spreadsheets/d/1sfWOQKogtGU83eIIVD0GQnFvRyJzaqzWvrtB3D0jy64/edit#gid=327425121
ciu,https://bcca.coop/ciu-co-operatives-are-well-placed-to-offer-canadians-a-solution-to-uncertainty/
template,https://link.hypha.coop/allhands-template
allhands-template,https://raw.githubusercontent.com/hyphacoop/organizing/master/templates/allhands.md
standup-template,https://raw.githubusercontent.com/hyphacoop/organizing/master/templates/standup.md
wg-template,https://link.hypha.coop/initiative-template
wg-gov-template,https://link.hypha.coop/initiative-homeostasis-template
wg-ops-template,https://link.hypha.coop/initiative-homeostasis-template
initiative-template,https://raw.githubusercontent.com/hyphacoop/organizing/master/templates/initiative.md
initiative-gov-template,https://raw.githubusercontent.com/hyphacoop/organizing/master/templates/initiative-homeostasis.md
initiative-homeostasis-template,https://raw.githubusercontent.com/hyphacoop/organizing/master/templates/initiative-homeostasis.md
join-social,https://discord.gg/FMcWUWMg4w
hours,https://docs.google.com/spreadsheets/d/1LyElXvLj7ASclSPQqcgOnuEWqBWBStilEfOhIosZzhA/edit#gid=858595530
biz-wg,https://loomio.hypha.coop/g/ojZI2bPl/working-groups-business-planning
fin-wg,https://loomio.hypha.coop/g/sRPwaorg/working-groups-finance
gov-wg,https://loomio.hypha.coop/g/BaAj6dQn/working-groups-governance
ops-wg,https://loomio.hypha.coop/g/KvARWad7/working-groups-infrastructure
inf-wg,https://loomio.hypha.coop/g/o5Q0pZKS/working-groups-operations
cosmos-calls,https://bbb.hypha.coop/b/hyp-fjf-jhh-vkr
closures,https://docs.google.com/document/d/1qAuHOPpoZE0gUd4IgGDjYeiQVuVG54BN_iu4ebq0_RM/edit#
leaves,https://link.hypha.coop/closures
holidays,https://link.hypha.coop/closures
cosmos-validator-survey,https://airtable.com/shrz6LMUE7V4CMpf1
